latitude,longitude,Yelp_restaurant_number,Yelp_avg_distance,Yelp_avg_review_count,Yelp_avg_rating
49.238105,-123.154966,20,310.95705439054854,50.55,6.5
49.243375,-123.104978,20,327.9184513775042,78.5,6.6
49.245135,-123.116098,20,778.8970467914139,66.55,6.3
49.245535,-123.120496,20,657.0785011999516,63.5,6.35
49.246243,-123.124373,20,589.5129643093373,42.6,6.2
49.247204,-123.101549,20,68.63293101418029,121.95,6.85
49.247854,-123.153422,4,577.2685477366383,9.75,4.0
49.249184,-123.116141,20,498.76314784154465,53.55,6.55
49.249722,-123.104991,20,299.65558389820444,159.2,7.2
49.25094,-123.101306,20,156.74085077234176,147.75,7.15
49.251358,-123.115637,20,347.54664949526267,58.75,6.6
49.252656,-123.067965,20,526.6444961983473,72.05,7.4
49.252691,-123.101289,20,223.13641317239245,163.7,7.4
49.254667,-123.101389,20,186.52455842383603,129.8,6.55
49.254818,-123.114785,20,85.50553275644457,55.65,7.2
49.255034,-123.120226,20,358.40825216666155,49.45,6.8
49.256496,-123.075426,20,579.5767109567325,60.7,6.3
49.256694,-123.096579,20,343.6240661205115,114.2,6.6
49.256825,-123.105234,20,314.3871080390053,107.0,6.65
49.256845,-123.120071,20,343.7018747909316,90.1,6.55
49.256857,-123.065646,20,503.9374726677934,62.1,6.2
49.25741,-123.148531,20,678.9799748604579,45.35,6.8
49.257654,-123.153212,20,644.8758195836692,46.3,7.5
49.257939,-123.089531,20,186.2401529250792,129.6,6.75
49.257985,-123.083366,20,446.2006589735232,97.4,6.4
49.258352,-123.096337,20,344.3407064032586,89.55,6.8
49.258425,-123.100792,20,76.63180732881513,93.35,6.55
49.25849,-123.104799,20,284.9705396297145,123.9,6.95
49.258761,-123.127071,20,362.85608235701835,44.45,5.95
49.258763,-123.115392,20,133.22043900948802,78.25,6.95
49.258817,-123.092797,20,329.69975924192,144.5,7.6
49.258819,-123.131317,20,475.83588367558633,51.45,5.85
49.258902,-123.109596,20,397.91196581630186,80.75,7.3
49.258924,-123.152591,20,510.68358148055484,50.05,7.6
49.25894,-123.139272,20,338.0841811391156,108.2,6.7
49.259183,-123.120126,20,318.89090310668655,18.35,5.95
49.25919,-123.148268,20,519.2169366761088,44.3,6.8
49.259469,-123.145718,20,490.8866760067027,64.4,6.4
49.259579,-123.114769,20,134.5810848178245,58.5,7.15
49.260599,-123.113504,20,166.84928678300435,19.95,6.55
49.261122,-123.097571,20,201.09588074841565,100.2,7.35
49.261188,-123.066009,20,314.12125306802454,67.25,6.1
49.261263,-123.073707,20,283.5138379434343,62.0,6.05
49.261353,-123.085333,20,384.1494488860591,52.2,6.15
49.261403,-123.070102,20,115.8949885349562,61.85,5.9
49.26151,-123.089413,20,244.59931387426695,102.8,7.25
49.261742,-123.13148,20,280.3322927776354,65.95,6.6
49.261973,-123.09725,20,168.4712156983556,68.25,7.2
49.262062,-123.104656,20,234.83697289154276,80.75,6.45
49.262141,-123.101961,20,118.39438830268871,100.55,6.4
49.262206,-123.109091,20,236.36001712427915,83.45,7.0
49.262242,-123.081459,20,462.41943053076113,32.4,5.7
49.262255,-123.126217,20,159.3167550647015,43.2,6.35
49.262321,-123.09306,20,261.3337571874755,59.5,7.45
49.262487,-123.114397,20,114.11658048550176,49.65,5.25
49.262598,-123.138921,20,132.1451094363155,45.65,6.05
49.262822,-123.14338,20,164.6711788116847,62.25,6.25
49.262835,-123.152626,20,175.8874390616835,47.65,7.5
49.262944,-123.148109,20,224.33177059859653,52.4,6.55
49.263242,-123.070521,20,154.809589290155,54.15,6.35
49.263382,-123.088837,20,262.59251631910166,42.7,7.4
49.263518,-123.09568,20,248.70986645515094,61.75,7.35
49.263523,-123.155267,20,175.85930262539426,44.7,7.15
49.263635,-123.099236,20,122.2027278657035,78.95,6.85
49.263746,-123.069892,20,166.26318392854762,51.05,5.95
49.263837,-123.105173,20,225.87490695596398,57.65,7.5
49.263962,-123.112621,20,100.05499226055176,115.6,6.95
49.264019,-123.209176,20,103.71286028841735,34.45,7.2
49.264215,-123.117772,20,132.46539819936618,75.95,7.35
49.264251,-123.073853,20,330.78902945059997,58.95,6.1
49.264326,-123.164725,20,224.0936810777901,46.6,7.45
49.264466,-123.085183,20,371.20613158794487,32.2,6.15
49.264483,-123.173926,20,111.65307612846486,88.0,7.05
49.264579,-123.18373,20,177.3430464402016,85.6,6.95
49.264928,-123.168068,20,153.644517223955,45.65,7.3
49.265005,-123.079481,20,483.3181901914866,27.5,5.25
49.265071,-123.123864,20,200.32285155362683,74.1,5.95
49.265089,-123.119425,20,195.45026362817356,41.8,6.15
49.265198,-123.131043,20,267.5777225443615,66.65,6.9
49.265213,-123.090785,20,343.3922333416924,55.0,7.3
49.265242,-123.095577,20,337.37529857761666,54.15,7.4
49.2653,-123.13811,20,162.0584876188621,58.6,6.75
49.265336,-123.145823,20,163.56107071059756,54.9,6.8
49.265442,-123.187738,20,254.609039787225,41.35,7.3
49.265605,-123.152566,20,271.1704919163139,68.5,7.2
49.2658,-123.20596,20,291.9670912973372,31.6,7.15
49.265939,-123.1129,20,225.9885375046622,74.35,6.0
49.266314,-123.116011,20,235.77729451902437,30.05,5.25
49.266456,-123.100324,20,230.1335442709517,54.1,6.7
49.266476,-123.109389,20,303.3190242700284,45.85,7.0
49.266636,-123.183661,20,253.18578682575117,82.4,7.15
49.266724,-123.104824,20,231.573333388522,48.85,7.45
49.266725,-123.065925,20,277.9189733386324,74.0,5.95
49.266751,-123.073501,20,286.6637477467453,87.75,6.0
49.266774,-123.141135,20,205.2909437433137,58.45,6.1
49.266924,-123.173849,20,311.7937727533513,95.0,7.7
49.266969,-123.069936,20,73.9197012850969,81.0,5.95
49.267222,-123.153157,20,196.13147824163758,98.25,7.25
49.267266,-123.090786,20,420.1151453761304,11.8,6.05
49.267628,-123.127698,20,454.251934940978,70.0,6.85
49.267725,-123.11311,20,342.6777025200358,39.5,5.4
49.267859,-123.145782,20,107.41339675303168,77.85,6.85
49.268216,-123.103168,20,190.7438093389531,75.4,6.6
49.268269,-123.147885,20,82.45243912432493,142.45,7.3
49.268339,-123.157443,20,134.41847237827452,95.1,6.85
49.2685027,-123.0975014,20,176.90699202565366,13.8,4.65
49.268616,-123.069908,20,81.35291192797949,70.65,6.15
49.268837,-123.177633,20,418.10513321377437,67.1,7.0
49.26893,-123.11813,20,390.61066578513174,81.7,5.0
49.268974,-123.190701,20,505.72004741530753,55.3,7.1
49.269361,-123.13782,20,157.67981743942767,87.9,7.3
49.269969,-123.109623,20,237.75962092901167,102.8,6.65
49.27023,-123.10651,20,150.55987183631024,108.8,6.9
49.27029,-123.135025,20,190.3336448258329,108.35,7.0
49.27033,-123.10275,20,229.38693152917818,104.35,6.25
49.270684,-123.073562,20,294.6124994135541,59.75,7.1
49.270721,-123.146175,20,180.23985260873428,51.4,6.1
49.270783,-123.141564,20,250.57841767147337,73.1,7.4
49.270877,-123.115103,20,442.537122249311,100.6,6.3
49.270905,-123.126006,20,426.2622620572788,112.25,6.45
49.271044,-123.170661,20,431.17834061336487,112.2,7.3
49.271082,-123.191458,20,680.6737596484583,56.2,7.3
49.271377,-123.069416,20,57.303259178709126,75.95,7.15
49.271471,-123.17731,20,593.7382726591712,81.7,7.05
49.271721,-123.104207,20,244.59760478174385,96.65,6.5
49.271741,-123.155421,20,178.30768330559718,100.35,6.9
49.272172,-123.097978,20,237.03722849358178,15.45,5.1
49.27247,-123.185643,20,604.3285179225834,61.65,6.7
49.272827,-123.147744,20,147.95557362675157,59.55,6.35
49.272969,-123.164325,20,597.0787285252188,125.45,7.5
49.273011,-123.159663,20,425.3280576368976,105.7,6.75
49.2731,-123.0732,20,275.2847267695248,52.4,6.1
49.273103,-123.069892,20,89.70370435254284,73.85,5.95
49.273355,-123.154493,20,254.6477546941406,95.05,7.55
49.273471,-123.118016,20,215.60863693574888,157.55,7.0
49.273568,-123.129935,20,265.3355748769954,65.45,7.0
49.273663,-123.127075,20,265.9297749192087,113.65,7.1
49.273691,-123.102232,20,240.63902063497818,43.9,5.2
49.273777,-123.092723,20,461.0498155281078,30.75,5.9
49.273833,-123.114373,20,305.3504190004363,115.35,6.95
49.274232,-123.129998,20,213.16460094677927,67.25,7.3
49.274566,-123.121817,20,72.5057042911567,126.95,6.45
49.274881,-123.069323,20,74.64229755568971,90.1,7.25
49.275295,-123.132585,20,199.02601750697653,64.25,7.55
49.2756,-123.102661,20,259.7458962670146,36.35,5.35
49.275679,-123.116963,20,185.38892390905067,85.65,7.75
49.275683,-123.124388,20,125.62590351810672,76.85,6.75
49.275717,-123.142564,20,537.8475270259939,67.5,6.85
49.275882,-123.071865,20,187.04610646473594,76.6,6.85
49.275938,-123.145939,20,466.4247174323044,71.85,6.4
49.276115,-123.114496,20,178.2327401475497,128.45,6.8
49.276144,-123.151272,20,459.2306579939915,78.8,6.75
49.276294,-123.106534,20,285.7367295174139,27.75,6.55
49.276436,-123.11877,20,87.77115797324791,165.4,7.6
49.277141,-123.122589,20,159.37140538884879,170.3,6.05
49.277178,-123.13,20,116.02373191504793,48.1,6.4
49.277333,-123.087359,20,488.49623316416853,20.0,5.25
49.277436,-123.070427,20,181.90337084333694,84.95,6.8
49.277469,-123.081315,20,384.4707027724713,22.4,5.1
49.277483,-123.114279,20,129.06802418715486,124.35,6.6
49.277595,-123.09583,20,200.79584460656704,161.65,7.05
49.277615,-123.091654,20,419.43221226400993,52.6,5.85
49.277665,-123.073653,20,185.6411434268029,29.6,5.7
49.277844,-123.120942,20,156.2431131109203,184.95,6.65
49.278004,-123.105664,20,212.7868090271887,37.05,6.35
49.27808,-123.130557,20,123.34802847465735,53.9,6.2
49.27821,-123.136972,20,420.0539580172689,120.35,6.85
49.279235,-123.087528,20,371.0177029394432,16.5,6.4
49.279259,-123.119145,20,115.97022479191321,146.9,6.6
49.279342,-123.101822,20,100.17556900225989,117.9,7.1
49.279369,-123.091241,20,354.02976669766537,27.9,4.9
49.279739,-123.116251,20,72.0046260969589,50.4,5.95
49.279764,-123.110154,20,135.50184644993925,213.2,6.25
49.279821,-123.10802,20,66.25677190510531,45.5,6.8
49.279938,-123.127478,20,99.88352073358678,64.8,5.0
49.280197,-123.065859,20,352.79659709602225,79.9,6.95
49.280216,-123.117639,20,60.556563684091046,236.35,6.55
49.28026,-123.135244,20,213.64822879823868,113.0,6.1
49.280284,-123.097052,20,104.9168537042555,43.8,6.25
49.280332,-123.070068,20,361.0834330318375,66.0,6.95
49.280427,-123.074082,20,218.19942967496982,29.65,5.85
49.28062,-123.12482,20,79.83586116460631,104.75,7.1
49.280787,-123.115271,20,121.30793382442205,164.9,5.25
49.280852,-123.084746,20,249.42908703833578,17.35,6.75
49.280881,-123.130672,20,75.3015742767773,80.05,6.05
49.280977,-123.035969,20,592.0764132785465,45.1,6.25
49.28117,-123.104419,20,144.39687623871433,97.1,8.2
49.281301,-123.139108,20,399.52963214523055,94.7,6.35
49.281506,-123.120101,20,71.400262260365,71.8,6.55
49.282087,-123.056909,20,133.38720362181704,68.45,7.05
49.282214,-123.114101,20,105.17377387466976,57.05,5.95
49.282224,-123.132778,20,66.77287082267466,91.45,6.15
49.282409,-123.118541,20,63.19698539336434,24.4,5.55
49.282503,-123.124697,20,120.8080978413689,236.2,6.9
49.282758,-123.122092,20,75.20395744960304,66.8,6.95
49.282759,-123.106955,20,101.05797898675164,92.7,6.7
49.283227,-123.120523,20,53.561170886669174,4.85,5.65
49.283236,-123.070443,20,350.8778800443703,54.2,7.75
49.283298,-123.142288,20,401.44198434667635,60.2,6.45
49.283343,-123.131099,20,219.04073243712983,84.85,5.05
49.283749,-123.136133,20,248.7402178629713,81.85,6.45
49.283968,-123.061615,20,280.91097381185574,73.15,6.9
49.283986,-123.065264,20,243.43889362957012,48.1,6.7
49.283992,-123.091206,20,372.60761443243206,84.05,5.65
49.284062,-123.095097,20,262.29594854874847,119.0,5.7
49.284157,-123.099917,20,215.52792337725546,124.65,6.35
49.284554,-123.111031,20,60.77312165289074,93.55,5.0
49.284605,-123.108662,20,92.9506024958666,164.8,7.6
49.284893,-123.128685,20,156.7334644190039,98.9,5.9
49.28512,-123.11242,20,54.01797074444785,26.05,4.55
49.285253,-123.134356,20,323.2527960855902,86.7,6.1
49.28526,-123.141809,20,195.03133163069933,60.2,6.45
49.285512,-123.1384,20,230.64689447113136,43.85,6.1
49.285575,-123.061575,20,345.09124153575925,78.2,7.0
49.2856698,-123.1125432,20,81.8860372212425,29.35,4.25
49.285836,-123.127265,20,48.60079602991189,90.85,6.6
49.285871,-123.12105,20,65.9927712318661,27.5,6.1
49.285953,-123.124066,20,92.4434050438177,122.45,5.45
49.28602,-123.116624,20,69.1629193696613,36.5,6.5
49.28691,-123.128818,20,57.30695063227064,127.45,5.65
49.287097,-123.118551,20,72.53690558456051,73.7,5.9
49.287214,-123.11287,20,105.13233154162526,151.3,6.45
49.287464,-123.060771,20,530.5662209381879,45.55,7.1
49.287528,-123.142139,20,73.65786692554322,61.15,6.15
49.28763,-123.127245,20,114.85572227692528,73.45,5.65
49.287782,-123.12395,20,107.75437764939474,61.7,6.95
49.288011,-123.132006,20,140.17223015190754,88.65,6.7
49.28803,-123.142135,20,93.7362889586372,51.3,6.0
49.288444,-123.139203,20,67.92206842896586,52.5,7.35
49.288682,-123.11818,20,135.29761484576224,160.3,6.95
49.2890705989865,-123.138407369468,20,92.63304310778943,63.5,7.0
49.289124,-123.12196,20,161.4098781458405,62.75,7.25
49.289255,-123.132677,20,44.95517880272673,59.25,6.6
49.28972,-123.144028,20,302.54150550723796,62.6,6.7
49.290112,-123.127062,20,202.33980783950247,50.8,5.85
49.290587,-123.13625,20,61.97133608330053,111.35,6.2
49.291597,-123.129158,20,217.39472651139172,79.1,6.75
49.291909,-123.140713,20,301.6796496021917,109.3,6.6
49.293257,-123.138563,20,285.3084591786448,128.35,7.1
49.294318,-123.148808,20,827.5975024760552,54.25,6.65
49.29534,-123.150433,20,960.0112421397087,64.7,6.7
49.297933,-123.130758,20,627.0163499682276,152.45,6.7
49.298657,-123.121176,20,967.8244657929538,99.25,6.85
49.299292,-123.130281,20,735.4869763392446,152.45,6.7
49.302577,-123.155616,3,637.5381378861917,146.66666666666666,3.6666666666666665
